Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Data Driven TestSuite,Chrome 91.0.4472.101,,,2021-06-15 21:05:02,2021-06-15 21:06:28,1m - 26.029s,FAILED
,,,,,,,
Test Cases/DataBase TestCases/Data Driven Test Case,Chrome 91.0.4472.101,This my Data Driveb Test case,DataDriven,2021-06-15 21:05:10,2021-06-15 21:05:40,29.560s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:05:10,2021-06-15 21:05:10,0.041s,PASSED
openBrowser(URL),Chrome 91.0.4472.101,,,2021-06-15 21:05:11,2021-06-15 21:05:35,24.570s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Make Appointment""))",Chrome 91.0.4472.101,,,2021-06-15 21:05:35,2021-06-15 21:05:37,1.176s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 91.0.4472.101,,,2021-06-15 21:05:37,2021-06-15 21:05:37,0.913s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 91.0.4472.101,,,2021-06-15 21:05:37,2021-06-15 21:05:38,0.853s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/button_Login""))",Chrome 91.0.4472.101,,,2021-06-15 21:05:38,2021-06-15 21:05:39,0.762s,PASSED
"verifyElementText(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Make Appointment""), ""Make Appointment"")",Chrome 91.0.4472.101,,,2021-06-15 21:05:39,2021-06-15 21:05:40,0.874s,FAILED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:05:40,2021-06-15 21:05:40,0.010s,PASSED
,,,,,,,
Test Cases/DataBase TestCases/Data Driven Test Case,Chrome 91.0.4472.101,This my Data Driveb Test case,DataDriven,2021-06-15 21:05:40,2021-06-15 21:05:50,10.437s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:05:40,2021-06-15 21:05:40,0.001s,PASSED
openBrowser(URL),Chrome 91.0.4472.101,,,2021-06-15 21:05:40,2021-06-15 21:05:46,5.733s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Make Appointment""))",Chrome 91.0.4472.101,,,2021-06-15 21:05:46,2021-06-15 21:05:47,1.042s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 91.0.4472.101,,,2021-06-15 21:05:47,2021-06-15 21:05:48,1.085s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 91.0.4472.101,,,2021-06-15 21:05:48,2021-06-15 21:05:49,0.868s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/button_Login""))",Chrome 91.0.4472.101,,,2021-06-15 21:05:49,2021-06-15 21:05:50,0.813s,PASSED
"verifyElementText(findTestObject(""Web Object Repository/CURA Healthcare Service/Appointment Page/Make Appointment""), ""Make Appointment"")",Chrome 91.0.4472.101,,,2021-06-15 21:05:50,2021-06-15 21:05:50,0.877s,FAILED
Start listener action : sampleAfterTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:05:50,2021-06-15 21:05:50,0.001s,PASSED
,,,,,,,
Test Cases/DataBase TestCases/Data Driven Test Case,Chrome 91.0.4472.101,This my Data Driveb Test case,DataDriven,2021-06-15 21:05:50,2021-06-15 21:06:00,10.007s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 91.0.4472.101,,,2021-06-15 21:05:50,2021-06-15 21:05:50,0.000s,PASSED
openBrowser(URL),Chrome 91.0.4472.101,,,2021-06-15 21:05:50,2021-06-15 21:05:56,5.489s,PASSED
"click(findTestObject(""Web Object Repository/CURA Healthcare Service/Home Page/Make Appointment""))",Chrome 91.0.4472.101,,,2021-06-15 21:05:56,2021-06-15 21:05:57,1.236s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Username""), username)",Chrome 91.0.4472.101,,,2021-06-15 21:05:57,2021-06-15 21:05:58,0.892s,PASSED
"setText(findTestObject(""Web Object Repository/CURA Healthcare Service/Login Page/input_Password""), password)",Chrome 91.0.4472.101,,,2021-06-15 21:05:58,2021-06-15 21:05:59,0.858s,PASSED
